ISO,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source
HND,Honduras,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",0,CTS
HRV,Croatia,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",0,CTS
HUN,Hungary,Europe,Eastern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",0.0613848828574377,CTS
ISL,Iceland,Europe,Northern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",0,GSH 2023 Revision/CTS
ITA,Italy,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",0.119447558030299,CTS
JAM,Jamaica,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",7.12741314794967,CTS
JOR,Jordan,Asia,Western Asia,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",0.00955812227247033,CTS
KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",0,CTS
LCA,Saint Lucia,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",7.90884491320043,CTS
LKA,Sri Lanka,Asia,Southern Asia,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",0,CTS
LTU,Lithuania,Europe,Northern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",0.178413532595082,CTS
LVA,Latvia,Europe,Northern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",0.466904753505417,CTS
MAR,Morocco,Africa,Northern Africa,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",0.133929468277689,CTS
MDA,Republic of Moldova,Europe,Eastern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",2.82201667653316,CTS
MEX,Mexico,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",0.100342198202637,CTS
MLT,Malta,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",0,CTS
MNE,Montenegro,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",0,CTS
MNG,Mongolia,Asia,Eastern Asia,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",1.95725234601949,CTS
NIC,Nicaragua,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",4.18744765690429,CTS
NLD,Netherlands (Kingdom of the),Europe,Western Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",0.0631411716917807,CTS
OMN,Oman,Asia,Western Asia,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",0,CTS
PAN,Panama,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",0,PPR/CTS
PER,Peru,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",2.44219127132311,CTS
PHL,Philippines,Asia,South-eastern Asia,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",1.17571518894257,CTS
PRY,Paraguay,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",0.43563619181466,CTS
PSE,State of Palestine,Asia,Western Asia,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",0,CTS
SLV,El Salvador,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",0,CTS
SUR,Suriname,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",3.83645044932341,CTS
SVK,Slovakia,Europe,Eastern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",0.826714716550755,GSH 2023 Revision/CTS
SVN,Slovenia,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",0,CTS
TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",5.16824507818161,NGO
URY,Uruguay,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",1.14890585865394,CTS
USA,United States of America,Americas,Northern America,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",0.415452322335579,CTS
UZB,Uzbekistan,Asia,Central Asia,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",0.179158932522275,CTS
VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Total,Total,2018,"Rate per 100,000 population",25.7324209442845,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",2.62839560090577,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",13.8888888888889,CTS
AUT,Austria,Europe,Western Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0.597921624433469,GSH 2023 Revision/CTS
BHS,Bahamas,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0.529694683984152,CTS
BLR,Belarus,Europe,Eastern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0.248991724986376,CTS
BLZ,Belize,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",63.6193684474006,CTS
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0.0172594362515818,CTS
BRB,Barbados,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0,CTS
BTN,Bhutan,Asia,Southern Asia,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0,CTS
CAN,Canada,Americas,Northern America,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0.334864908204617,CTS
CHE,Switzerland,Europe,Western Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0.094723038715082,GSH 2023 Revision/CTS
CHL,Chile,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0.968329300490086,CTS
COL,Colombia,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0,CTS
DEU,Germany,Europe,Western Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0.296377666091714,CTS
DMA,Dominica,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",2.92444691397739,CTS
DOM,Dominican Republic,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0.0558456582374161,CTS/NGO
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0.589188487910577,CTS
ECU,Ecuador,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",2.30110755476504,CTS
ESP,Spain,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0.510026031209962,CTS
FIN,Finland,Europe,Northern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0.14698741034457,CTS
GRD,Grenada,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",1.71350239890336,CTS
GTM,Guatemala,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0,CTS
GUY,Guyana,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",4.38262931979015,CTS
HND,Honduras,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0,CTS
HRV,Croatia,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0,CTS
HUN,Hungary,Europe,Eastern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0.0641961835368887,CTS
ISL,Iceland,Europe,Northern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0,GSH 2023 Revision/CTS
ITA,Italy,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0.221245271180159,CTS
JAM,Jamaica,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",13.0218814114432,CTS
JOR,Jordan,Asia,Western Asia,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0.018459734519482,CTS
KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0,CTS
LCA,Saint Lucia,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",14.7792771796592,CTS
LTU,Lithuania,Europe,Northern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0.308486779799052,CTS
LVA,Latvia,Europe,Northern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0.225380682058289,CTS
MAR,Morocco,Africa,Northern Africa,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0.237683693911934,CTS
MDA,Republic of Moldova,Europe,Eastern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",4.73231067413823,CTS
MEX,Mexico,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0.178097218225341,CTS
MLT,Malta,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0,CTS
MNE,Montenegro,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0,CTS/GSH 2023 Revision
MNG,Mongolia,Asia,Eastern Asia,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",3.22912544519193,CTS
NIC,Nicaragua,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",8.23165203694454,CTS
NLD,Netherlands (Kingdom of the),Europe,Western Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0.115795737014681,CTS
OMN,Oman,Asia,Western Asia,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0,CTS
PAN,Panama,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0,PPR/CTS
PER,Peru,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",4.29458150513638,CTS
PHL,Philippines,Asia,South-eastern Asia,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",2.13853610532089,CTS
PRY,Paraguay,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0.835669338642,CTS
PSE,State of Palestine,Asia,Western Asia,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0,CTS
SLV,El Salvador,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0,CTS
SUR,Suriname,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",7.31045161976347,CTS
SVN,Slovenia,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",0,CTS
TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",10.0265841831321,NGO
URY,Uruguay,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",2.06540531149349,CTS
VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Male,Total,2018,"Rate per 100,000 population",40.8129191440418,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.199892537771694,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0,CTS
AUT,Austria,Europe,Western Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.111277916708257,GSH 2023 Revision/CTS
BHS,Bahamas,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0,CTS
BLR,Belarus,Europe,Eastern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.15803363489114,CTS
BLZ,Belize,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",7.95920641405914,CTS
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.332491255479981,CTS
BRB,Barbados,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0,CTS
BTN,Bhutan,Asia,Southern Asia,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0,CTS
CAN,Canada,Americas,Northern America,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.122470217905401,CTS
CHE,Switzerland,Europe,Western Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.0232909833383292,GSH 2023 Revision/CTS
CHL,Chile,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.0947811248444865,CTS
COL,Colombia,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0,CTS
DEU,Germany,Europe,Western Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.208507039837402,CTS
DMA,Dominica,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0,CTS
DOM,Dominican Republic,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.0739357184379971,CTS/NGO
DZA,Algeria,Africa,Northern Africa,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.0240613215291056,CTS
ECU,Ecuador,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.234414127014247,CTS
ESP,Spain,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.146096629897206,CTS
FIN,Finland,Europe,Northern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0,CTS
GRD,Grenada,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0,CTS
GTM,Guatemala,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0,CTS
GUY,Guyana,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.247732933987844,CTS
HND,Honduras,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0,CTS
HRV,Croatia,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0,CTS
HUN,Hungary,Europe,Eastern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.0588094785588973,CTS
ISL,Iceland,Europe,Northern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0,CTS
ITA,Italy,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.0226549391108865,CTS
JAM,Jamaica,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",1.33572357552111,CTS
JOR,Jordan,Asia,Western Asia,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0,CTS
KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0,CTS
LCA,Saint Lucia,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",1.12288896873877,CTS
LTU,Lithuania,Europe,Northern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.0664087351393853,CTS
LVA,Latvia,Europe,Northern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.672947186624117,CTS
MAR,Morocco,Africa,Northern Africa,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.0281714114319419,CTS
MDA,Republic of Moldova,Europe,Eastern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",1.17944591400129,CTS
MEX,Mexico,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.0265904723459557,CTS
MLT,Malta,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0,CTS
MNE,Montenegro,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0,CTS/GSH 2023 Revision
MNG,Mongolia,Asia,Eastern Asia,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",1.2591833818014,CTS
NIC,Nicaragua,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.276609146819064,CTS
NLD,Netherlands (Kingdom of the),Europe,Western Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.0113825430262972,CTS
OMN,Oman,Asia,Western Asia,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0,CTS
PAN,Panama,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0,PPR/CTS
PER,Peru,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.587726936063187,CTS
PHL,Philippines,Asia,South-eastern Asia,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.213679256551059,CTS
PRY,Paraguay,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.0312848190259253,CTS
PSE,State of Palestine,Asia,Western Asia,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0,CTS
SLV,El Salvador,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0,CTS
SUR,Suriname,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.334925906016442,CTS
SVN,Slovenia,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0,CTS
TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.404065437050646,NGO
URY,Uruguay,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",0.285980983408527,CTS
VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator unknown to the victim,Female,Total,2018,"Rate per 100,000 population",9.79979028448791,CTS
ALB,Albania,Europe,Southern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator to victim relationship unknown,Total,Total,2018,"Rate per 100,000 population",1.5202656595137,CTS
ARG,Argentina,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator to victim relationship unknown,Total,Total,2018,"Rate per 100,000 population",2.25731200294418,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator to victim relationship unknown,Total,Total,2018,"Rate per 100,000 population",0,CTS
AUT,Austria,Europe,Western Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator to victim relationship unknown,Total,Total,2018,"Rate per 100,000 population",0.0113101055057537,GSH 2023 Revision/CTS
AZE,Azerbaijan,Asia,Western Asia,Victims of intentional homicide,by relationship to perpetrator,Perpetrator to victim relationship unknown,Total,Total,2018,"Rate per 100,000 population",1.64346157031558,CTS
BHS,Bahamas,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator to victim relationship unknown,Total,Total,2018,"Rate per 100,000 population",15.0235219973645,CTS
BLR,Belarus,Europe,Eastern Europe,Victims of intentional homicide,by relationship to perpetrator,Perpetrator to victim relationship unknown,Total,Total,2018,"Rate per 100,000 population",0.0949363984147309,CTS
BLZ,Belize,Americas,Latin America and the Caribbean,Victims of intentional homicide,by relationship to perpetrator,Perpetrator to victim relationship unknown,Total,Total,2018,"Rate per 100,000 population",0,CTS
